Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
915,Text,1997-05-01,Library Work with Children,en,"Hazeltine, Alice Isabel, 1878-1959",Children's libraries -- United States,Z,
916,Text,1997-05-01,Sketches of Young Couples,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century; Couples -- England,PR,
917,Text,2006-04-27,Barnaby Rudge: A Tale of the Riots of 'Eighty,en,"Dickens, Charles, 1812-1870","Historical fiction; Gordon Riots, 1780 -- Fiction; London (England) -- History -- 18th century -- Fiction; Apprentices -- Fiction; Political fiction; Mystery fiction; Locksmiths -- Fiction",PR,Historical Fiction
918,Text,1997-05-01,Sketches of Young Gentlemen,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century; Young men -- England,PR,
919,Text,1997-05-01,Ethics — Part 1,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
920,Text,1997-05-01,Ethics — Part 2,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
921,Text,1997-05-01,De Profundis,en,"Wilde, Oscar, 1854-1900","Wilde, Oscar, 1854-1900; Suffering; Grief; Imprisonment",PR,
922,Text,1997-05-01,Sunday Under Three Heads,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century; Sunday,BV,
923,Text,1997-05-01,A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade,en,"James, William Dobein, 1764-1830","Marion, Francis, 1732-1795; Generals -- United States -- Biography; South Carolina -- Militia -- Biography; South Carolina -- History -- Revolution, 1775-1783; Swamp Fox; United States -- History -- Revolution, 1775-1783; Marion, Francis, 1732-1795 -- Correspondence; Greene, Nathanael, 1742-1786 -- Correspondence; United States. Continental Army -- Biography",E201,
924,Text,1997-05-01,To Be Read at Dusk,en,"Dickens, Charles, 1812-1870",Fiction; Short stories; Ghost stories,PR,
925,Text,1997-05-01,United States Presidents' Inaugural Speeches: From Washington to George W. Bush,en,United States. Presidents,Presidents -- United States -- Inaugural addresses,JK,
926,Text,1997-05-01,"Ten Thousand Dreams Interpreted; Or, What's in a Dream
A Scientific and Practical Exposition",en,"Miller, Gustavus Hindman, 1857-1929",Dreams -- Dictionaries; Dream interpretation; Dreams,BF,Psychology; Reference
927,Text,1997-05-01,The Lamplighter,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century -- Fiction; Humorous stories,PR,
928,Text,1997-05-01,"Alice's Adventures in Wonderland
HTML Edition",en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Best Books Ever Listings; Children's Literature
